team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Angers,26.5,1.0,0.55,1.2625,0.08750000000000001,0.8,66.36250000000001,0.5750000000000001,0.55,0.5375,0.8250000000000001,9.125,2.0,5.25,0.825,0.55,0.375,825.0,1.125,0.037500000000000006,0.0,0.0,160497.875,66.36250000000001,19.712500000000002,6.55625,0.375,0.575,1.1,157.625,0.825,0.6375,66.625,1.375,1
Bordeaux,25.166666666666668,1.1666666666666667,0.7250000000000001,0.9249999999999999,0.025000000000000005,0.46666666666666656,85.52499999999999,0.8583333333333334,0.6916666666666668,0.8833333333333333,1.0583333333333333,10.416666666666666,1.0,2.75,0.9833333333333333,0.7250000000000001,0.34166666666666673,904.6666666666666,0.8333333333333334,0.10833333333333334,0.0,0.0,134674.25,85.52499999999999,31.124999999999996,6.704166666666667,0.08333333333333333,0.7000000000000001,1.5000000000000002,180.25,1.425,1.0000000000000002,75.33333333333333,2.0833333333333335,1
Caen,26.666666666666668,2.0,0.7999999999999999,0.8333333333333334,0.18333333333333335,0.5166666666666666,77.33333333333334,0.9500000000000001,1.0666666666666667,0.8166666666666668,0.8000000000000002,16.5,0.6666666666666666,5.666666666666667,1.0999999999999999,0.7999999999999999,0.2166666666666667,1441.5,1.0,0.05000000000000001,0.0,0.0,158876.33333333334,77.33333333333334,22.200000000000003,6.53,0.3333333333333333,0.5833333333333334,1.3666666666666665,177.83333333333334,1.3,1.0666666666666667,69.16666666666667,2.5,1
GFC Ajaccio,30.5,1.25,0.6249999999999999,0.525,0.1,0.375,71.775,0.8999999999999999,0.725,0.7,1.075,14.25,0.0,5.0,0.975,0.6249999999999999,0.375,1235.75,0.25,0.05,0.025,0.0,97311.5,71.775,23.55,6.475,0.25,0.8,1.275,177.0,1.8250000000000002,1.15,72.75,4.25,1
Guingamp,25.2,2.2,0.68,0.72,0.1,0.5,79.38,1.2,0.6,0.9600000000000002,0.8800000000000001,15.2,2.8,4.2,0.9199999999999999,0.68,0.36,1401.8,1.4,0.16,0.0,0.0,129081.8,79.38,20.5,6.638,0.4,0.78,1.3799999999999997,179.4,0.74,0.8800000000000001,70.8,2.6,1
Lille,24.5,0.5,0.62,0.30999999999999994,0.08,0.22000000000000003,79.03999999999999,1.03,0.45999999999999996,0.48999999999999994,0.76,7.8,0.3,3.6,1.01,0.62,0.19,734.5,0.2,0.08,0.02,0.0,151127.2,79.03999999999999,22.229999999999997,6.508000000000001,0.0,0.30999999999999994,1.02,174.9,1.02,0.63,68.6,1.9,1
Lorient,24.6,1.0,0.6799999999999999,0.51,0.030000000000000006,0.22999999999999998,77.18,0.7499999999999999,0.42000000000000004,0.74,0.77,9.9,1.8,4.4,0.7,0.6799999999999999,0.16,892.8,0.2,0.09,0.01,0.0,152344.4,77.18,19.71,6.526000000000001,0.0,1.1099999999999999,0.74,159.3,1.02,1.29,56.0,2.2,1
Lyon,24.333333333333332,1.8888888888888888,0.8,0.4555555555555556,0.0,0.4555555555555555,82.35555555555555,1.2,0.9666666666666666,0.9777777777777779,1.155555555555556,10.88888888888889,3.0,3.6666666666666665,0.5888888888888889,0.8,0.2888888888888889,985.6666666666666,0.4444444444444444,0.1111111111111111,0.0,0.0,161370.22222222222,82.35555555555555,30.599999999999998,6.678888888888889,0.1111111111111111,0.8666666666666667,1.5222222222222224,156.11111111111111,1.2333333333333334,1.377777777777778,62.77777777777778,2.2222222222222223,1
Marseille,26.8,2.0,0.9800000000000001,0.96,0.04,0.4,83.72,1.16,1.3800000000000001,1.1600000000000001,1.16,15.2,1.4,4.0,1.28,0.9800000000000001,0.52,1306.4,1.0,0.1,0.0,0.0,90912.0,83.72,36.71999999999999,6.9079999999999995,0.4,0.6599999999999999,1.58,179.6,1.2600000000000002,0.96,71.4,3.6,1
Monaco,23.666666666666668,0.6666666666666666,0.9,0.7999999999999999,0.09999999999999999,0.5666666666666668,79.53333333333332,1.0333333333333334,1.1666666666666665,0.6333333333333333,1.1666666666666667,12.666666666666666,1.6666666666666667,4.0,1.0666666666666667,0.9,0.39999999999999997,1098.6666666666667,0.3333333333333333,0.06666666666666667,0.0,0.0,91963.66666666667,79.53333333333332,31.366666666666664,6.609999999999999,0.0,0.9666666666666668,1.0999999999999999,179.33333333333334,1.7666666666666666,1.0999999999999999,72.33333333333333,1.6666666666666667,1
Montpellier,26.545454545454547,1.9090909090909092,0.7,0.6545454545454544,0.0818181818181818,0.2818181818181818,80.27272727272727,1.0818181818181818,0.6272727272727274,0.7000000000000001,0.8,12.0,1.8181818181818181,4.363636363636363,0.8181818181818182,0.7,0.35454545454545455,1070.3636363636363,0.7272727272727273,0.13636363636363635,0.0,0.0,79806.81818181818,80.27272727272727,25.763636363636362,6.50090909090909,0.0,0.7545454545454546,1.0545454545454545,178.9090909090909,1.2363636363636363,0.9636363636363637,73.36363636363636,1.5454545454545454,1
Nantes,24.6,1.2,0.64,0.8400000000000001,0.06000000000000001,1.06,82.47999999999999,1.2,1.0,0.8800000000000001,1.02,10.8,0.6,2.8,1.26,0.64,0.45999999999999996,938.4,0.4,0.02,0.02,0.0,156084.6,82.47999999999999,29.860000000000003,6.798,0.0,0.5,1.78,178.6,1.64,0.7,72.4,2.0,1
Nice,22.692307692307693,1.6923076923076923,0.46923076923076923,0.4076923076923077,0.13076923076923078,0.5923076923076922,83.98461538461538,0.7769230769230769,0.6538461538461539,0.6384615384615384,0.7153846153846152,12.76923076923077,2.3076923076923075,5.076923076923077,0.8615384615384615,0.46923076923076923,0.2076923076923077,1144.076923076923,0.5384615384615384,0.05384615384615385,0.0,0.0,138679.23076923078,83.98461538461538,30.96153846153846,6.588461538461538,0.15384615384615385,0.5923076923076923,1.0307692307692309,174.84615384615384,1.2076923076923078,0.7923076923076924,69.38461538461539,1.5384615384615385,1
Paris Saint Germain,24.5,4.166666666666667,0.9166666666666666,0.5,0.05000000000000001,0.3666666666666667,74.33333333333334,0.8666666666666666,1.0,0.7666666666666666,0.6666666666666666,13.833333333333334,2.6666666666666665,4.666666666666667,0.8666666666666667,0.9166666666666666,0.4166666666666667,1215.3333333333333,1.1666666666666667,0.13333333333333333,0.016666666666666666,0.0,151280.5,74.33333333333334,43.416666666666664,6.888333333333333,0.0,0.7000000000000001,1.15,179.66666666666666,1.4333333333333333,0.9666666666666667,74.66666666666667,1.8333333333333333,1
Reims,25.166666666666668,0.6666666666666666,0.3833333333333333,0.8833333333333333,0.06666666666666667,0.45,85.58333333333333,0.65,0.7833333333333333,0.6333333333333334,0.8333333333333334,10.5,1.0,4.166666666666667,0.8833333333333333,0.3833333333333333,0.11666666666666668,984.8333333333334,0.16666666666666666,0.09999999999999999,0.016666666666666666,0.16666666666666666,131577.5,85.58333333333333,20.4,6.398333333333333,0.5,0.7833333333333332,1.2833333333333332,179.0,0.7166666666666667,0.9833333333333333,70.83333333333333,2.1666666666666665,1
Rennes,21.6,0.6,0.9,0.3,0.02,0.08,80.38,1.3199999999999998,0.5,0.54,0.54,5.2,1.2,7.0,0.24,0.9,0.3,534.4,0.6,0.16,0.0,0.0,200984.8,80.38,23.380000000000003,6.461999999999999,0.0,0.8400000000000001,0.8800000000000001,143.2,0.5599999999999999,0.6000000000000001,58.8,0.2,1
SC Bastia,22.0,1.0,0.38,0.74,0.04,0.3,72.32000000000001,0.9800000000000001,0.5,0.78,0.74,11.2,2.2,3.6,0.45999999999999996,0.38,0.2,1028.0,0.6,0.1,0.0,0.0,162980.4,72.32000000000001,16.4,6.444,0.4,0.96,0.74,177.6,0.5800000000000001,1.16,72.4,1.0,1
Saint-Etienne,27.22222222222222,1.2222222222222223,0.6111111111111112,1.0444444444444445,0.11111111111111113,0.5333333333333333,74.42222222222222,0.8555555555555555,0.8222222222222222,0.7444444444444445,1.088888888888889,14.88888888888889,0.7777777777777778,5.222222222222222,1.077777777777778,0.6111111111111112,0.3111111111111111,1338.5555555555557,0.6666666666666666,0.1,0.022222222222222223,0.0,78042.66666666667,74.42222222222222,25.41111111111111,6.57,0.0,0.8111111111111111,1.4555555555555553,179.77777777777777,0.9555555555555555,0.9222222222222223,73.55555555555556,3.4444444444444446,1
Toulouse,27.5,2.3333333333333335,0.9166666666666666,1.0666666666666667,0.03333333333333333,0.3666666666666667,76.76666666666667,1.4833333333333332,0.75,1.1,1.2666666666666668,15.5,1.1666666666666667,7.5,1.0,0.9166666666666666,0.6166666666666668,1361.8333333333333,0.6666666666666666,0.05000000000000001,0.0,0.0,77128.66666666667,76.76666666666667,28.983333333333334,6.698333333333333,0.3333333333333333,0.7333333333333334,1.55,179.83333333333334,1.2,1.1333333333333335,72.83333333333333,3.6666666666666665,1
