,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
2,22.0,4.0,0.7,1.0,0.1,0.9,72.0,1.6,1.0,de,2.2,1.0,27.0,2.0,2.0,1.7,0.7,Bundesliga,0.3,2431.0,1.0,Mitchell Weiser,0.1,0.1,0.0,108914.0,"D(R),M(R)",72.0,33.5,6.97,0.0,0.5,2.2,176.0,Hertha Berlin,1.3,2.2,67.0,7.0,0
149,27.0,3.0,0.8,2.0,0.2,2.3,69.3,0.3,0.5,de,1.0,0.5,24.0,1.0,6.0,1.2,0.8,Bundesliga,0.7,2243.0,0.0,Daniel Brosinski,0.0,0.2,0.0,31814.0,"D(R),M(R)",69.3,33.9,6.79,0.0,0.5,1.6,178.0,Mainz 05,2.8,0.5,70.0,3.0,0
184,26.0,0.0,0.1,1.0,0.3,0.8,67.8,0.3,0.5,us,1.0,1.1,5.0,0.0,7.0,1.7,0.1,Bundesliga,0.5,665.0,0.0,Timothy Chandler,0.0,0.2,0.0,69467.0,"D(R),M(R)",67.8,17.8,6.34,0.0,0.3,1.1,186.0,Eintracht Frankfurt,0.5,0.3,84.0,4.0,0
234,32.0,0.0,0.1,1.0,0.2,3.4,64.2,0.2,1.1,at,0.4,1.2,20.0,0.0,1.0,3.0,0.1,Bundesliga,0.1,1796.0,0.0,György Garics,0.0,0.5,1.0,12492.0,"D(R),M(R)",64.2,20.3,6.63,0.0,0.1,1.5,183.0,Darmstadt,2.2,0.6,76.0,8.0,0
390,24.0,1.0,0.4,2.6,0.5,3.2,68.4,0.2,0.5,cz,0.7,0.9,25.0,0.0,3.0,1.9,0.4,Bundesliga,0.3,2228.0,0.0,Pavel Kaderábek,0.0,0.3,0.0,90548.0,"D(R),M(R)",68.4,26.9,6.75,0.0,0.2,1.2,182.0,Hoffenheim,0.5,0.4,80.0,2.0,0
417,26.0,0.0,0.5,3.2,0.3,2.8,69.7,0.3,0.9,jp,0.8,1.0,25.0,1.0,1.0,2.3,0.5,Bundesliga,0.3,2295.0,1.0,Hiroki Sakai,0.0,0.3,0.0,62108.0,"D(R),M(R)",69.7,37.0,6.76,0.0,0.4,2.4,185.0,Hannover 96,1.4,0.8,75.0,1.0,0
601,24.0,1.0,1.0,1.6,0.2,1.9,76.3,0.5,1.4,ml,0.8,1.3,32.0,2.0,1.0,3.3,1.0,Ligue1,0.8,2912.0,1.0,Hamari Traore,0.1,0.3,0.0,289018.0,"D(R),M(R)",76.3,40.0,7.07,1.0,0.5,2.6,174.0,Reims,2.2,1.1,57.0,9.0,1
904,25.0,2.0,0.7,1.3,0.3,1.7,75.0,0.9,0.4,fr,1.7,1.1,30.0,2.0,3.0,2.0,0.7,Ligue1,0.8,2632.0,2.0,Sébastien Corchia,0.1,0.3,0.0,71293.0,"D(R),M(R)",75.0,21.5,7.03,0.0,0.7,2.3,176.0,Lille,0.8,0.9,69.0,6.0,1
1002,31.0,1.0,0.4,0.7,0.1,2.1,73.2,0.3,0.7,rs,0.4,0.6,5.0,0.0,5.0,2.2,0.4,Ligue1,0.4,511.0,0.0,Pavle Ninkov,0.1,0.0,0.0,15729.0,"D(R),M(R)",73.2,16.8,6.66,0.0,0.1,1.6,181.0,Toulouse,0.6,0.3,80.0,0.0,1
1094,31.0,0.0,0.4,0.8,0.4,1.4,81.4,0.9,0.8,rs,0.8,1.0,21.0,0.0,2.0,2.1,0.4,SerieA,0.4,1817.0,0.0,Dusan Basta,0.0,0.2,1.0,14751.0,"D(R),M(R)",81.4,45.2,6.48,0.0,0.5,1.2,183.0,Lazio,2.9,0.8,72.0,1.0,2
1201,28.0,2.0,0.7,2.6,0.2,3.4,65.5,0.6,0.4,it,1.0,1.7,17.0,1.0,0.0,0.5,0.7,SerieA,0.7,1396.0,0.0,Lorenzo De Silvestri,0.1,0.3,0.0,19580.0,"D(R),M(R)",65.5,31.6,6.74,0.0,0.7,0.4,185.0,Sampdoria,1.2,0.8,78.0,4.0,2
1249,24.0,1.0,0.6,0.2,0.0,0.8,78.9,0.9,0.3,it,0.4,1.1,13.0,1.0,12.0,0.7,0.6,SerieA,0.9,1265.0,0.0,Davide Zappacosta,0.1,0.0,0.0,141312.0,"D(R),M(R)",78.9,18.6,6.39,0.0,0.6,0.7,182.0,Torino,1.3,0.5,78.0,3.0,2
1289,24.0,4.0,1.1,2.1,0.3,3.8,78.7,0.5,0.5,hr,1.5,1.7,35.0,0.0,0.0,2.3,1.1,SerieA,1.4,3062.0,4.0,Sime Vrsaljko,0.0,0.3,0.0,77059.0,"D(R),M(R)",78.7,40.4,7.17,1.0,0.3,1.9,182.0,Sassuolo,2.0,0.8,76.0,8.0,2
1306,31.0,1.0,0.1,0.6,0.1,1.8,78.9,0.1,0.2,it,0.2,0.2,4.0,0.0,5.0,1.1,0.1,SerieA,0.3,475.0,0.0,Marcello Gazzola,0.0,0.4,0.0,30589.0,"D(R),M(R)",78.9,16.9,6.45,0.0,0.2,0.4,183.0,Sassuolo,0.9,0.2,78.0,1.0,2
1333,32.0,1.0,0.7,0.6,0.2,1.1,76.2,0.4,0.5,ch,0.8,0.8,22.0,0.0,4.0,0.5,0.7,SerieA,0.6,1832.0,0.0,Stephan Lichtsteiner,0.4,0.0,0.0,15302.0,"D(R),M(R)",76.2,30.3,6.72,0.0,0.6,1.0,182.0,Juventus,1.2,0.7,75.0,5.0,2
1387,22.0,1.0,0.3,1.0,0.2,1.9,77.2,1.1,1.0,it,1.2,0.9,10.0,2.0,4.0,2.7,0.3,SerieA,0.2,814.0,0.0,Andrea Conti,0.1,0.5,0.0,294137.0,"D(R),M(R)",77.2,24.1,6.77,1.0,0.4,2.1,184.0,Atalanta,1.0,1.1,76.0,1.0,2
1395,35.0,0.0,0.2,0.8,0.2,1.2,66.2,0.2,0.7,it,1.3,1.1,6.0,0.0,12.0,1.1,0.2,SerieA,0.1,738.0,0.0,Cristian Raimondi,0.2,0.1,0.0,9943.0,"D(R),M(R)",66.2,14.9,6.58,0.0,0.3,2.2,182.0,Atalanta,0.4,0.5,74.0,4.0,2
1479,23.0,2.0,0.6,1.2,0.2,1.6,68.4,0.6,0.5,ch,1.0,1.2,21.0,0.0,6.0,1.3,0.6,SerieA,0.5,1904.0,0.0,Silvan Widmer,0.1,0.0,0.0,103622.0,"D(R),M(R)",68.4,22.5,6.68,0.0,0.9,1.5,182.0,Udinese,1.1,0.6,81.0,4.0,2
1515,37.0,0.0,0.7,1.2,0.5,1.8,85.4,0.0,0.8,it,0.3,1.2,3.0,1.0,3.0,0.7,0.7,SerieA,0.5,331.0,0.0,Gennaro Sardo,0.0,0.0,0.0,15119.0,"D(R),M(R)",85.4,26.3,6.55,0.0,0.3,1.3,190.0,Chievo,2.5,0.2,87.0,3.0,2
1562,29.0,0.0,0.5,1.1,0.5,3.0,71.3,0.4,0.4,it,1.5,2.4,24.0,0.0,3.0,2.1,0.5,SerieA,0.6,2163.0,0.0,Aleandro Rosi,0.1,0.0,0.0,14254.0,"D(R),M(R)",71.3,22.0,6.69,0.0,0.6,1.5,184.0,Frosinone,1.4,1.0,80.0,6.0,2
1604,31.0,1.0,0.6,0.2,0.1,1.3,84.5,0.5,0.3,sn,0.6,0.5,6.0,0.0,7.0,1.7,0.6,SerieA,0.5,637.0,0.0,Issa Cissokho,0.1,0.2,0.0,100292.0,"D(R),M(R)",84.5,25.2,6.5,1.0,0.1,0.7,173.0,Genoa,1.0,0.5,73.0,0.0,2
