,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
5,25.0,2.0,1.1,1.3,0.2,0.6,81.5,1.1,0.8,cz,1.5,1.8,30.0,5.0,1.0,2.1,1.1,Bundesliga,0.7,2599.0,1.0,Vladimir Darida,0.2,0.0,0.0,84130.0,"M(C),FW",81.5,53.7,6.88,0.0,1.3,0.9,171.0,Hertha Berlin,2.1,1.4,64.0,6.0,0
53,29.0,0.0,0.5,0.0,0.0,0.0,82.4,0.5,0.5,de,2.5,1.0,1.0,0.0,1.0,0.0,0.5,Bundesliga,0.0,82.0,0.0,Aaron Hunt,0.0,0.0,0.0,10161.0,"M(C),FW",82.4,34.0,6.14,0.0,0.0,0.5,183.0,Wolfsburg,1.5,1.0,73.0,0.0,0
164,33.0,1.0,0.9,5.4,0.0,1.5,66.9,0.5,0.3,de,0.5,0.9,19.0,12.0,0.0,0.7,0.9,Bundesliga,0.0,1658.0,3.0,Alexander Meier,0.6,0.0,0.0,5486.0,"M(C),FW",66.9,26.3,7.32,1.0,2.6,0.3,196.0,Eintracht Frankfurt,0.6,1.0,96.0,0.0,0
238,30.0,1.0,0.6,3.4,0.2,0.6,62.5,0.5,0.5,de,0.8,1.2,17.0,0.0,6.0,0.5,0.6,Bundesliga,0.0,1422.0,0.0,Jan Rosenthal,0.3,0.0,0.0,13746.0,"M(C),FW",62.5,16.7,6.55,0.0,0.7,0.7,186.0,Darmstadt,0.8,1.0,73.0,2.0,0
257,29.0,2.0,1.9,1.1,0.1,0.3,75.1,1.0,0.6,de,1.7,1.2,19.0,1.0,2.0,1.0,1.9,Bundesliga,1.1,1659.0,1.0,Aaron Hunt,0.2,0.0,1.0,10161.0,"M(C),FW",75.1,36.8,6.88,0.0,1.1,1.2,183.0,Hamburger SV,1.9,1.3,73.0,2.0,0
959,28.0,0.0,0.0,0.7,0.0,0.0,65.4,0.0,0.3,bf,0.7,0.0,0.0,0.0,3.0,0.3,0.0,Ligue1,0.3,31.0,0.0,Alain Traoré,0.0,0.0,0.0,21251.0,"M(C),FW",65.4,8.7,6.08,0.0,0.3,0.0,176.0,Lorient,0.0,0.3,73.0,0.0,1
1041,32.0,0.0,0.5,0.4,0.0,0.1,84.5,0.4,0.5,br,0.5,0.6,5.0,0.0,9.0,0.2,0.5,Ligue1,0.1,448.0,0.0,Jussie,0.0,0.0,0.0,14336.0,"M(C),FW",84.5,14.7,6.28,0.0,0.1,0.2,181.0,Bordeaux,0.5,1.1,81.0,0.0,1
1608,32.0,0.0,0.9,0.8,0.1,0.2,78.9,1.4,0.3,mk,2.2,0.7,9.0,0.0,6.0,0.1,0.9,SerieA,0.1,825.0,0.0,Goran Pandev,0.8,0.0,0.0,6093.0,"M(C),FW",78.9,17.7,6.29,1.0,1.1,0.1,184.0,Genoa,0.8,1.3,75.0,0.0,2
8,29.0,2.0,0.3,1.9,0.2,0.9,84.6,0.5,1.0,no,1.1,2.0,31.0,0.0,0.0,2.6,0.3,Bundesliga,0.0,2695.0,0.0,Per Skjelbred,0.0,0.1,0.0,8946.0,M(CR),84.6,50.8,6.84,0.0,0.1,1.8,175.0,Hertha Berlin,3.2,0.6,74.0,9.0,0
42,22.0,2.0,1.5,0.6,0.1,0.4,84.8,1.1,0.7,de,2.5,1.6,22.0,3.0,9.0,0.8,1.5,Bundesliga,0.2,2038.0,1.0,Maximilian Arnold,0.1,0.0,0.0,108919.0,M(CR),84.8,39.8,6.73,0.0,0.9,1.3,184.0,Wolfsburg,3.5,0.9,74.0,4.0,0
