,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
2,22.0,4.0,0.7,1.0,0.1,0.9,72.0,1.6,1.0,2.2,1.0,2.0,1.7,0.7,Bundesliga,0.3,Mitchell Weiser,0.1,0.1,0.0,"D(R),M(R)",72.0,0.0,0.5,2.2,176.0,Hertha Berlin,1.3,2.2,67.0,7.0
149,27.0,3.0,0.8,2.0,0.2,2.3,69.3,0.3,0.5,1.0,0.5,1.0,1.2,0.8,Bundesliga,0.7,Daniel Brosinski,0.0,0.2,0.0,"D(R),M(R)",69.3,0.0,0.5,1.6,178.0,Mainz 05,2.8,0.5,70.0,3.0
184,26.0,0.0,0.1,1.0,0.3,0.8,67.8,0.3,0.5,1.0,1.1,0.0,1.7,0.1,Bundesliga,0.5,Timothy Chandler,0.0,0.2,0.0,"D(R),M(R)",67.8,0.0,0.3,1.1,186.0,Eintracht Frankfurt,0.5,0.3,84.0,4.0
234,32.0,0.0,0.1,1.0,0.2,3.4,64.2,0.2,1.1,0.4,1.2,0.0,3.0,0.1,Bundesliga,0.1,György Garics,0.0,0.5,1.0,"D(R),M(R)",64.2,0.0,0.1,1.5,183.0,Darmstadt,2.2,0.6,76.0,8.0
390,24.0,1.0,0.4,2.6,0.5,3.2,68.4,0.2,0.5,0.7,0.9,0.0,1.9,0.4,Bundesliga,0.3,Pavel Kaderábek,0.0,0.3,0.0,"D(R),M(R)",68.4,0.0,0.2,1.2,182.0,Hoffenheim,0.5,0.4,80.0,2.0
417,26.0,0.0,0.5,3.2,0.3,2.8,69.7,0.3,0.9,0.8,1.0,1.0,2.3,0.5,Bundesliga,0.3,Hiroki Sakai,0.0,0.3,0.0,"D(R),M(R)",69.7,0.0,0.4,2.4,185.0,Hannover 96,1.4,0.8,75.0,1.0
601,24.0,1.0,1.0,1.6,0.2,1.9,76.3,0.5,1.4,0.8,1.3,2.0,3.3,1.0,Ligue1,0.8,Hamari Traore,0.1,0.3,0.0,"D(R),M(R)",76.3,1.0,0.5,2.6,174.0,Reims,2.2,1.1,57.0,9.0
904,25.0,2.0,0.7,1.3,0.3,1.7,75.0,0.9,0.4,1.7,1.1,2.0,2.0,0.7,Ligue1,0.8,Sébastien Corchia,0.1,0.3,0.0,"D(R),M(R)",75.0,0.0,0.7,2.3,176.0,Lille,0.8,0.9,69.0,6.0
1002,31.0,1.0,0.4,0.7,0.1,2.1,73.2,0.3,0.7,0.4,0.6,0.0,2.2,0.4,Ligue1,0.4,Pavle Ninkov,0.1,0.0,0.0,"D(R),M(R)",73.2,0.0,0.1,1.6,181.0,Toulouse,0.6,0.3,80.0,0.0
1094,31.0,0.0,0.4,0.8,0.4,1.4,81.4,0.9,0.8,0.8,1.0,0.0,2.1,0.4,SerieA,0.4,Dusan Basta,0.0,0.2,1.0,"D(R),M(R)",81.4,0.0,0.5,1.2,183.0,Lazio,2.9,0.8,72.0,1.0
1201,28.0,2.0,0.7,2.6,0.2,3.4,65.5,0.6,0.4,1.0,1.7,1.0,0.5,0.7,SerieA,0.7,Lorenzo De Silvestri,0.1,0.3,0.0,"D(R),M(R)",65.5,0.0,0.7,0.4,185.0,Sampdoria,1.2,0.8,78.0,4.0
1249,24.0,1.0,0.6,0.2,0.0,0.8,78.9,0.9,0.3,0.4,1.1,1.0,0.7,0.6,SerieA,0.9,Davide Zappacosta,0.1,0.0,0.0,"D(R),M(R)",78.9,0.0,0.6,0.7,182.0,Torino,1.3,0.5,78.0,3.0
1289,24.0,4.0,1.1,2.1,0.3,3.8,78.7,0.5,0.5,1.5,1.7,0.0,2.3,1.1,SerieA,1.4,Sime Vrsaljko,0.0,0.3,0.0,"D(R),M(R)",78.7,1.0,0.3,1.9,182.0,Sassuolo,2.0,0.8,76.0,8.0
