,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
0,31.0,4.0,0.8,4.1,0.1,0.5,67.4,1.5,0.3,1.6,1.8,10.0,0.3,0.8,Bundesliga,0.0,Vedad Ibisevic,0.9,0.0,0.0,FW,67.4,1.0,2.4,0.6,188.0,Hertha Berlin,0.7,2.2,82.0,5.0
24,27.0,1.0,0.3,1.8,0.0,0.2,48.7,0.5,0.2,0.5,0.8,0.0,0.2,0.3,Bundesliga,0.0,Julian Schieber,0.0,0.0,0.0,FW,48.7,0.0,0.3,0.0,186.0,Hertha Berlin,0.0,0.7,83.0,1.0
39,27.0,2.0,0.6,3.1,0.0,0.7,75.9,0.4,0.2,0.4,0.7,8.0,0.1,0.6,Bundesliga,0.0,Bas Dost,0.5,0.0,0.0,FW,75.9,0.0,1.8,0.1,196.0,Wolfsburg,0.5,0.8,78.0,0.0
51,28.0,0.0,0.2,0.9,0.1,0.2,63.9,0.6,0.2,0.3,0.5,2.0,0.0,0.2,Bundesliga,0.0,Nicklas Bendtner,0.2,0.0,0.0,FW,63.9,0.0,0.7,0.3,194.0,Wolfsburg,0.2,0.2,89.0,2.0
62,32.0,3.0,0.8,2.4,0.1,0.6,72.7,1.2,0.3,1.3,1.6,12.0,0.3,0.8,Bundesliga,0.1,Klaas-Jan Huntelaar,0.7,0.0,0.0,FW,72.7,0.0,2.3,0.2,186.0,Schalke 04,0.2,1.5,83.0,2.0
85,27.0,1.0,1.0,1.4,0.1,0.7,69.2,1.4,0.6,0.6,1.6,7.0,1.0,1.0,Bundesliga,0.0,Alfred Finnbogason,0.8,0.0,0.0,FW,69.2,0.0,2.4,1.1,184.0,Augsburg,0.5,1.5,78.0,3.0
103,27.0,0.0,0.4,1.6,0.0,0.0,59.4,0.7,0.4,1.1,0.4,0.0,0.0,0.4,Bundesliga,0.1,Tim Matavz,0.5,0.0,0.0,FW,59.4,0.0,1.2,0.7,188.0,Augsburg,0.0,0.6,81.0,1.0
108,31.0,0.0,0.0,0.3,0.0,0.0,28.6,0.3,0.0,0.0,1.0,0.0,0.0,0.0,Bundesliga,0.0,Sascha Mölders,0.0,0.0,0.0,FW,28.6,0.0,0.5,0.3,187.0,Augsburg,0.0,0.0,82.0,0.0
119,25.0,1.0,1.1,4.1,0.0,0.3,64.2,2.2,0.7,2.3,2.2,2.0,0.5,1.1,Bundesliga,0.0,Darío Lezcano,0.5,0.0,0.0,FW,64.2,0.0,1.7,1.3,178.0,Ingolstadt,0.2,2.6,79.0,4.0
131,24.0,0.0,0.0,0.9,0.0,0.2,69.6,0.3,0.2,1.0,1.0,0.0,0.2,0.0,Bundesliga,0.0,Elias Kachunga,0.1,0.1,0.0,FW,69.6,0.0,0.4,0.3,178.0,Ingolstadt,0.0,1.4,74.0,0.0
132,27.0,0.0,0.3,2.0,0.0,0.0,71.4,0.3,0.0,0.0,0.8,0.0,0.0,0.3,Bundesliga,0.0,Tomas Pekhart,0.0,0.0,0.0,FW,71.4,0.0,1.0,0.3,194.0,Ingolstadt,0.0,0.5,93.0,1.0
143,23.0,2.0,0.7,2.2,0.0,0.1,64.6,1.4,0.6,1.1,2.3,7.0,0.7,0.7,Bundesliga,0.1,Yoshinori Muto,1.2,0.0,0.0,FW,64.6,0.0,1.7,1.2,178.0,Mainz 05,0.3,1.7,72.0,2.0
