,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
0,31.0,4.0,0.8,4.1,0.1,0.5,67.4,1.5,0.3,ba,1.6,1.8,25.0,10.0,1.0,0.3,0.8,Bundesliga,0.0,2099.0,4.0,Vedad Ibisevic,0.9,0.0,0.0,10103.0, FW,67.4,22.3,7.08,1.0,2.4,0.6,188.0,Hertha Berlin,0.7,2.2,82.0,5.0
24,27.0,1.0,0.3,1.8,0.0,0.2,48.7,0.5,0.2,de,0.5,0.8,0.0,0.0,6.0,0.2,0.3,Bundesliga,0.0,137.0,0.0,Julian Schieber,0.0,0.0,0.0,44800.0, FW,48.7,6.5,6.11,0.0,0.3,0.0,186.0,Hertha Berlin,0.0,0.7,83.0,1.0
39,27.0,2.0,0.6,3.1,0.0,0.7,75.9,0.4,0.2,nl,0.4,0.7,14.0,8.0,8.0,0.1,0.6,Bundesliga,0.0,1368.0,0.0,Bas Dost,0.5,0.0,0.0,34323.0, FW,75.9,18.3,6.81,0.0,1.8,0.1,196.0,Wolfsburg,0.5,0.8,78.0,0.0
51,28.0,0.0,0.2,0.9,0.1,0.2,63.9,0.6,0.2,dk,0.3,0.5,4.0,2.0,9.0,0.0,0.2,Bundesliga,0.0,414.0,0.0,Nicklas Bendtner,0.2,0.0,0.0,13819.0, FW,63.9,8.3,6.18,0.0,0.7,0.3,194.0,Wolfsburg,0.2,0.2,89.0,2.0
62,32.0,3.0,0.8,2.4,0.1,0.6,72.7,1.2,0.3,nl,1.3,1.6,29.0,12.0,2.0,0.3,0.8,Bundesliga,0.1,2483.0,3.0,Klaas-Jan Huntelaar,0.7,0.0,0.0,8013.0, FW,72.7,16.9,6.89,0.0,2.3,0.2,186.0,Schalke 04,0.2,1.5,83.0,2.0
85,27.0,1.0,1.0,1.4,0.1,0.7,69.2,1.4,0.6,is,0.6,1.6,13.0,7.0,1.0,1.0,1.0,Bundesliga,0.0,1133.0,0.0,Alfred Finnbogason,0.8,0.0,0.0,44722.0, FW,69.2,20.6,7.04,0.0,2.4,1.1,184.0,Augsburg,0.5,1.5,78.0,3.0
103,27.0,0.0,0.4,1.6,0.0,0.0,59.4,0.7,0.4,si,1.1,0.4,3.0,0.0,8.0,0.0,0.4,Bundesliga,0.1,369.0,0.0,Tim Matavz,0.5,0.0,0.0,25518.0, FW,59.4,6.3,6.32,0.0,1.2,0.7,188.0,Augsburg,0.0,0.6,81.0,1.0
108,31.0,0.0,0.0,0.3,0.0,0.0,28.6,0.3,0.0,de,0.0,1.0,0.0,0.0,4.0,0.0,0.0,Bundesliga,0.0,26.0,0.0,Sascha Mölders,0.0,0.0,0.0,31554.0, FW,28.6,1.8,6.08,0.0,0.5,0.3,187.0,Augsburg,0.0,0.0,82.0,0.0
119,25.0,1.0,1.1,4.1,0.0,0.3,64.2,2.2,0.7,py,2.3,2.2,15.0,2.0,2.0,0.5,1.1,Bundesliga,0.0,1247.0,1.0,Darío Lezcano,0.5,0.0,0.0,302671.0, FW,64.2,19.9,6.88,0.0,1.7,1.3,178.0,Ingolstadt,0.2,2.6,79.0,4.0
131,24.0,0.0,0.0,0.9,0.0,0.2,69.6,0.3,0.2,de,1.0,1.0,3.0,0.0,7.0,0.2,0.0,Bundesliga,0.0,269.0,0.0,Elias Kachunga,0.1,0.1,0.0,92804.0, FW,69.6,6.9,6.19,0.0,0.4,0.3,178.0,Ingolstadt,0.0,1.4,74.0,0.0
