,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,longb,owng,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league,labeled_team
1636,23.0,6.0,1.4,2.5,0.1,0.1,72.7,2.5,0.2,0.7,0.8,18.0,0.0,1.4,0.2,0.0,72.7,0.0,3.2,0.4,190.0,Everton,0.6,2.2,94.0,3.0,3,0
1661,26.0,0.0,0.6,0.4,0.0,0.0,76.7,0.4,0.4,0.6,0.4,0.0,0.6,0.6,0.4,0.0,76.7,0.0,0.4,0.8,182.0,Everton,0.2,0.8,82.0,0.0,3,0
1667,30.0,6.0,1.2,3.7,0.0,1.0,66.1,2.1,0.1,0.9,1.3,11.0,0.3,1.2,0.1,0.0,66.1,0.0,2.7,0.5,193.0,Southampton,1.0,1.9,89.0,6.0,3,1
1686,26.0,0.0,0.1,1.3,0.0,1.0,64.0,1.0,0.4,1.0,0.4,1.0,0.0,0.1,0.1,0.0,64.0,0.0,1.1,0.7,188.0,Southampton,0.1,0.6,84.0,0.0,3,1
1694,26.0,1.0,0.5,0.4,0.0,0.3,78.2,2.3,0.2,0.9,0.1,8.0,0.2,0.5,0.1,0.0,78.2,0.0,3.4,0.2,188.0,Liverpool,0.9,1.5,76.0,0.0,3,2
1704,25.0,3.0,1.1,4.4,0.0,0.4,66.1,1.1,0.1,0.9,1.0,9.0,0.0,1.1,0.0,0.0,66.1,0.0,2.1,0.3,190.0,Liverpool,0.4,1.7,83.0,2.0,3,2
1734,29.0,6.0,0.9,2.7,0.1,0.7,68.1,1.2,0.6,0.9,1.1,16.0,0.3,0.9,0.1,1.0,68.1,0.0,2.7,0.9,192.0,Arsenal,0.2,2.2,88.0,2.0,3,3
1751,30.0,1.0,0.9,4.1,0.0,0.8,68.8,1.7,0.3,1.6,0.6,7.0,0.1,0.9,0.0,0.0,68.8,0.0,1.3,0.4,185.0,Norwich,0.1,1.7,80.0,0.0,3,4
1769,29.0,2.0,0.2,2.2,0.0,0.3,63.2,1.1,0.1,0.3,1.1,3.0,0.2,0.2,0.0,0.0,63.2,0.0,1.4,0.3,185.0,Norwich,0.2,1.1,85.0,2.0,3,4
1774,28.0,0.0,0.8,0.0,0.0,0.0,84.3,1.0,0.3,0.3,0.3,1.0,0.0,0.8,0.3,0.0,84.3,0.0,0.7,0.0,183.0,Norwich,0.3,0.3,71.0,0.0,3,4
1776,28.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.5,0.0,175.0,Norwich,0.5,0.0,71.0,0.0,3,4
1791,26.0,1.0,0.5,2.6,0.0,0.5,71.8,0.9,0.8,0.8,0.9,4.0,0.3,0.5,0.2,0.0,71.8,0.0,1.3,0.6,192.0,Stoke,0.5,1.6,80.0,0.0,3,5
1794,35.0,1.0,0.4,4.5,0.0,0.8,57.9,0.7,0.5,0.4,1.2,0.0,0.4,0.4,0.0,0.0,57.9,0.0,0.6,0.3,201.0,Stoke,0.0,1.1,75.0,0.0,3,5
1816,26.0,2.0,0.8,2.7,0.0,1.3,65.5,2.6,0.5,1.0,1.0,9.0,0.4,0.8,0.2,0.0,65.5,1.0,2.1,0.3,189.0,West Bromwich Albion,0.3,2.7,85.0,1.0,3,6
1823,28.0,0.0,0.5,2.8,0.0,0.8,64.8,0.9,0.2,0.7,0.2,0.0,0.2,0.5,0.0,0.0,64.8,0.0,1.3,0.2,185.0,West Bromwich Albion,0.0,1.5,80.0,0.0,3,6
1830,34.0,1.0,0.6,1.1,0.0,0.3,68.1,0.6,0.2,0.4,0.3,1.0,0.0,0.6,0.0,0.0,68.1,0.0,0.7,0.0,188.0,West Bromwich Albion,0.3,0.9,77.0,2.0,3,6
1846,29.0,2.0,0.5,1.8,0.0,0.7,70.4,1.2,0.7,0.6,0.7,6.0,0.2,0.5,0.0,0.0,70.4,0.0,1.2,0.9,190.0,Leicester,0.2,1.2,80.0,0.0,3,7
1853,25.0,0.0,0.5,0.0,0.0,0.0,72.7,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,72.7,0.0,0.5,0.5,177.0,Leicester,0.0,1.0,73.0,0.0,3,7
1869,24.0,0.0,0.5,0.3,0.2,0.1,73.3,1.7,0.2,1.5,0.9,5.0,0.1,0.5,0.1,0.0,73.3,0.0,1.3,0.4,180.0,Bournemouth,0.1,2.4,66.0,0.0,3,8
1873,32.0,0.0,0.3,1.2,0.2,0.5,65.4,0.8,0.5,0.9,0.9,3.0,0.2,0.3,0.1,0.0,65.4,0.0,1.2,0.4,183.0,Bournemouth,0.2,1.3,80.0,2.0,3,8
1876,28.0,0.0,0.2,0.3,0.1,0.1,82.0,0.8,0.4,0.1,0.5,0.0,0.1,0.2,0.1,0.0,82.0,0.0,1.0,0.7,183.0,Bournemouth,0.5,0.8,71.0,2.0,3,8
1879,25.0,0.0,0.3,0.0,0.0,0.0,90.9,0.7,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,90.9,0.0,0.3,1.0,172.0,Bournemouth,0.0,0.3,68.0,0.0,3,8
1902,22.0,1.0,0.3,0.3,0.1,0.0,63.9,0.9,0.4,0.1,0.5,0.0,0.0,0.3,0.1,0.0,63.9,0.0,0.8,0.9,175.0,Tottenham,0.1,0.9,68.0,0.0,3,9
1907,27.0,7.0,1.5,6.2,0.1,1.3,60.9,1.6,0.6,0.9,1.3,13.0,0.4,1.5,0.0,1.0,60.9,0.0,2.5,1.3,180.0,Watford,0.9,1.8,76.0,6.0,3,10
1955,32.0,0.0,1.5,2.5,0.0,0.0,60.0,1.0,0.0,0.5,4.0,0.0,0.0,1.5,0.0,0.0,60.0,0.0,1.0,0.0,183.0,Crystal Palace,0.0,1.5,80.0,0.0,3,11
1956,32.0,1.0,0.5,1.7,0.0,0.6,76.1,2.2,0.3,0.4,0.8,1.0,0.1,0.5,0.1,0.0,76.1,0.0,1.0,0.2,191.0,Crystal Palace,0.6,1.6,82.0,1.0,3,11
1959,28.0,0.0,0.1,0.6,0.0,0.2,75.0,0.8,0.2,0.2,0.7,0.0,0.4,0.1,0.0,0.0,75.0,0.0,0.4,0.3,172.0,Crystal Palace,0.1,1.4,82.0,1.0,3,11
1975,29.0,0.0,0.5,4.0,0.1,0.4,61.7,1.9,0.3,1.1,1.2,4.0,0.2,0.5,0.0,0.0,61.7,0.0,1.6,0.7,186.0,Sunderland,0.3,1.7,76.0,0.0,3,12
1984,31.0,0.0,0.4,1.9,0.2,0.5,68.8,0.5,0.7,1.8,1.8,1.0,0.6,0.4,0.2,0.0,68.8,0.0,0.8,1.1,186.0,Sunderland,0.8,1.5,81.0,2.0,3,12
1992,30.0,0.0,0.0,1.1,0.3,0.6,55.7,0.6,0.3,0.6,0.8,0.0,0.5,0.0,0.0,0.0,55.7,0.0,0.4,0.1,183.0,Sunderland,0.3,0.8,87.0,0.0,3,12
2014,27.0,3.0,0.5,1.8,0.0,0.3,77.7,1.3,0.3,0.8,0.7,4.0,0.1,0.5,0.0,0.0,77.7,0.0,2.3,0.3,182.0,Manchester City,0.2,1.0,84.0,1.0,3,13
2015,19.0,1.0,0.5,0.5,0.0,0.2,76.9,1.5,0.2,0.2,0.7,8.0,0.1,0.5,0.0,0.0,76.9,0.0,1.1,0.5,187.0,Manchester City,0.2,1.0,77.0,1.0,3,13
2025,27.0,2.0,0.7,4.1,0.3,1.0,61.6,0.8,0.2,0.9,1.4,9.0,0.3,0.7,0.0,0.0,61.6,0.0,2.1,0.3,193.0,West Ham,0.5,1.3,79.0,2.0,3,14
2028,26.0,1.0,0.7,2.6,0.1,0.9,62.2,2.1,0.4,1.3,0.9,5.0,0.4,0.7,0.1,0.0,62.2,0.0,2.3,0.7,184.0,West Ham,0.2,2.9,79.0,3.0,3,14
2037,28.0,0.0,0.0,0.7,0.0,0.0,50.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.7,0.0,185.0,West Ham,0.0,0.3,76.0,0.0,3,14
2040,30.0,2.0,0.7,0.8,0.0,0.3,68.9,0.2,0.2,0.3,0.5,1.0,0.2,0.7,0.1,0.0,68.9,0.0,0.8,0.2,188.0,West Ham,0.0,0.3,88.0,1.0,3,14
2052,18.0,2.0,0.5,0.3,0.4,0.8,76.9,2.0,0.3,0.8,0.5,5.0,0.2,0.5,0.0,0.0,76.9,0.0,1.5,0.6,180.0,Manchester United,0.2,2.3,70.0,0.0,3,15
2069,28.0,0.0,1.0,0.0,0.0,0.0,85.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,85.7,0.0,1.0,0.0,175.0,Manchester United,0.0,0.0,73.0,0.0,3,15
2075,20.0,0.0,0.0,0.0,0.0,0.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0,184.0,Manchester United,0.0,0.0,73.0,0.0,3,15
2078,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,Manchester United,0.0,0.0,78.0,0.0,3,15
2093,21.0,4.0,0.9,2.5,0.2,0.9,71.8,2.0,0.6,1.5,1.5,9.0,0.2,0.9,0.0,0.0,71.8,2.0,2.3,0.7,189.0,Newcastle United,0.4,2.5,82.0,4.0,3,16
2107,26.0,0.0,0.3,0.3,0.0,0.0,94.7,0.7,0.3,0.3,0.7,0.0,0.0,0.3,0.3,0.0,94.7,0.0,1.0,1.0,182.0,Newcastle United,0.0,1.0,80.0,0.0,3,16
2108,28.0,0.0,0.0,0.0,0.0,0.0,75.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.3,0.0,183.0,Newcastle United,0.0,1.0,74.0,0.0,3,16
2116,27.0,2.0,0.5,6.5,0.1,0.9,57.4,0.5,0.2,0.4,0.8,5.0,0.2,0.5,0.0,0.0,57.4,0.0,1.9,0.3,193.0,Aston Villa,0.2,1.2,86.0,2.0,3,17
2122,27.0,0.0,0.8,5.0,0.3,1.3,63.2,0.5,0.0,0.8,1.3,0.0,0.0,0.8,0.0,0.0,63.2,0.0,1.5,0.8,192.0,Aston Villa,0.3,4.0,84.0,0.0,3,17
2158,30.0,0.0,0.5,0.9,0.0,0.6,80.2,1.4,0.2,0.6,0.5,6.0,0.2,0.5,0.0,0.0,80.2,0.0,1.8,0.2,184.0,Swansea,0.5,1.9,77.0,0.0,3,18
2159,26.0,0.0,0.3,0.5,0.1,0.4,74.4,1.3,0.5,0.6,1.7,2.0,0.7,0.3,0.1,0.0,74.4,0.0,1.5,0.7,175.0,Swansea,0.3,1.8,68.0,2.0,3,18
2164,28.0,0.0,0.2,0.7,0.0,0.5,73.3,0.6,0.0,0.7,0.8,0.0,0.1,0.2,0.0,0.0,73.3,0.0,0.4,0.3,188.0,Swansea,0.1,0.7,81.0,0.0,3,18
1653,32.0,4.0,0.6,0.6,0.0,0.3,84.1,1.8,0.6,0.5,0.6,5.0,0.4,0.6,0.2,0.0,84.1,0.0,1.4,1.0,182.0,Everton,0.5,1.8,78.0,1.0,3,0
1711,21.0,1.0,0.6,0.4,0.0,0.1,75.0,1.6,0.3,0.8,0.7,5.0,0.0,0.6,0.2,0.0,75.0,0.0,1.5,0.3,185.0,Liverpool,0.0,1.5,75.0,0.0,3,2
1742,23.0,2.0,0.7,0.3,0.2,0.2,78.7,0.7,1.1,1.3,0.5,3.0,0.5,0.7,0.1,0.0,78.7,0.0,1.0,1.4,178.0,Arsenal,0.3,1.4,71.0,0.0,3,3
1775,28.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,196.0,Norwich,0.0,1.0,70.0,0.0,3,4
