,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
5,25.0,2.0,1.1,1.3,0.2,0.6,81.5,1.1,0.8,1.5,1.8,5.0,2.1,1.1,Bundesliga,0.7,Vladimir Darida,0.2,0.0,0.0,"M(C),FW",81.5,0.0,1.3,0.9,171.0,Hertha Berlin,2.1,1.4,64.0,6.0
53,29.0,0.0,0.5,0.0,0.0,0.0,82.4,0.5,0.5,2.5,1.0,0.0,0.0,0.5,Bundesliga,0.0,Aaron Hunt,0.0,0.0,0.0,"M(C),FW",82.4,0.0,0.0,0.5,183.0,Wolfsburg,1.5,1.0,73.0,0.0
164,33.0,1.0,0.9,5.4,0.0,1.5,66.9,0.5,0.3,0.5,0.9,12.0,0.7,0.9,Bundesliga,0.0,Alexander Meier,0.6,0.0,0.0,"M(C),FW",66.9,1.0,2.6,0.3,196.0,Eintracht Frankfurt,0.6,1.0,96.0,0.0
238,30.0,1.0,0.6,3.4,0.2,0.6,62.5,0.5,0.5,0.8,1.2,0.0,0.5,0.6,Bundesliga,0.0,Jan Rosenthal,0.3,0.0,0.0,"M(C),FW",62.5,0.0,0.7,0.7,186.0,Darmstadt,0.8,1.0,73.0,2.0
257,29.0,2.0,1.9,1.1,0.1,0.3,75.1,1.0,0.6,1.7,1.2,1.0,1.0,1.9,Bundesliga,1.1,Aaron Hunt,0.2,0.0,1.0,"M(C),FW",75.1,0.0,1.1,1.2,183.0,Hamburger SV,1.9,1.3,73.0,2.0
959,28.0,0.0,0.0,0.7,0.0,0.0,65.4,0.0,0.3,0.7,0.0,0.0,0.3,0.0,Ligue1,0.3,Alain Traoré,0.0,0.0,0.0,"M(C),FW",65.4,0.0,0.3,0.0,176.0,Lorient,0.0,0.3,73.0,0.0
1041,32.0,0.0,0.5,0.4,0.0,0.1,84.5,0.4,0.5,0.5,0.6,0.0,0.2,0.5,Ligue1,0.1,Jussie,0.0,0.0,0.0,"M(C),FW",84.5,0.0,0.1,0.2,181.0,Bordeaux,0.5,1.1,81.0,0.0
1608,32.0,0.0,0.9,0.8,0.1,0.2,78.9,1.4,0.3,2.2,0.7,0.0,0.1,0.9,SerieA,0.1,Goran Pandev,0.8,0.0,0.0,"M(C),FW",78.9,1.0,1.1,0.1,184.0,Genoa,0.8,1.3,75.0,0.0
8,29.0,2.0,0.3,1.9,0.2,0.9,84.6,0.5,1.0,1.1,2.0,0.0,2.6,0.3,Bundesliga,0.0,Per Skjelbred,0.0,0.1,0.0,M(CR),84.6,0.0,0.1,1.8,175.0,Hertha Berlin,3.2,0.6,74.0,9.0
42,22.0,2.0,1.5,0.6,0.1,0.4,84.8,1.1,0.7,2.5,1.6,3.0,0.8,1.5,Bundesliga,0.2,Maximilian Arnold,0.1,0.0,0.0,M(CR),84.8,0.0,0.9,1.3,184.0,Wolfsburg,3.5,0.9,74.0,4.0
58,21.0,3.0,1.0,1.6,0.5,1.7,81.6,0.9,1.5,1.4,1.2,1.0,3.0,1.0,Bundesliga,0.0,Leon Goretzka,0.0,0.1,1.0,M(CR),81.6,0.0,1.5,2.6,189.0,Schalke 04,1.7,0.9,79.0,5.0
155,26.0,0.0,0.0,1.1,0.4,0.1,83.7,0.3,0.9,0.3,0.9,0.0,0.5,0.0,Bundesliga,0.0,Christoph Moritz,0.0,0.0,0.0,M(CR),83.7,0.0,0.1,1.8,186.0,Mainz 05,0.5,0.8,73.0,0.0
209,27.0,1.0,0.9,2.5,0.0,0.8,62.1,1.1,0.3,0.9,2.3,1.0,0.6,0.9,Bundesliga,0.3,Sambou Yatabaré,0.3,0.0,0.0,M(CR),62.1,0.0,1.0,0.9,190.0,Werder Bremen,1.0,1.8,82.0,3.0
279,25.0,4.0,1.3,0.9,0.2,0.7,75.3,1.4,1.4,0.9,1.0,5.0,2.2,1.3,Bundesliga,0.1,Lukas Rupp,0.0,0.1,0.0,M(CR),75.3,0.0,1.3,2.4,179.0,VfB Stuttgart,0.9,1.2,73.0,4.0
310,25.0,2.0,0.9,0.9,0.3,0.6,82.1,1.2,1.1,0.7,1.5,3.0,2.8,0.9,Bundesliga,0.1,Kevin Kampl,0.0,0.0,0.0,M(CR),82.1,0.0,1.3,1.8,178.0,Bayer Leverkusen,2.2,1.2,65.0,4.0
347,24.0,0.0,1.0,0.6,0.0,0.2,74.0,0.8,0.5,0.4,1.1,2.0,0.5,1.0,Bundesliga,0.5,Milos Jojic,0.1,0.0,0.0,M(CR),74.0,0.0,1.1,0.7,177.0,FC Cologne,0.7,0.9,79.0,2.0
424,33.0,1.0,0.8,2.5,0.2,1.0,69.8,0.5,0.4,0.7,1.9,2.0,1.1,0.8,Bundesliga,0.3,Leon Andreasen,0.1,0.0,0.0,M(CR),69.8,0.0,1.3,1.1,188.0,Hannover 96,1.3,0.7,81.0,4.0
451,29.0,7.0,1.1,0.4,0.0,0.2,82.2,1.2,0.5,0.8,0.5,3.0,1.1,1.1,Bundesliga,0.1,Gonzalo Castro,0.1,0.0,0.0,M(CR),82.2,0.0,0.8,1.2,172.0,Borussia Dortmund,1.4,1.0,74.0,1.0
465,23.0,1.0,0.6,0.1,0.0,0.1,85.9,1.1,0.7,1.1,0.4,0.0,0.3,0.6,Bundesliga,0.0,Moritz Leitner,0.0,0.0,0.0,M(CR),85.9,0.0,0.7,0.9,178.0,Borussia Dortmund,1.2,0.8,70.0,0.0
466,25.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bundesliga,0.0,Kevin Kampl,0.0,0.0,0.0,M(CR),90.0,0.0,0.0,0.0,178.0,Borussia Dortmund,0.0,1.0,65.0,0.0
503,38.0,3.0,1.2,0.5,0.2,0.8,76.4,0.7,1.2,1.2,1.7,0.0,1.6,1.2,Ligue1,0.7,David Ducourtioux,0.0,0.0,0.0,M(CR),76.4,0.0,1.0,2.3,177.0,GFC Ajaccio,4.7,1.4,68.0,12.0
795,33.0,0.0,0.0,0.8,0.4,0.9,82.2,0.3,1.2,0.4,0.8,1.0,1.6,0.0,Ligue1,0.0,Joris Marveaux,0.0,0.0,0.0,M(CR),82.2,0.0,0.4,1.9,179.0,Montpellier,1.9,0.2,72.0,2.0
799,21.0,0.0,0.3,0.4,0.1,0.1,77.8,1.4,0.9,1.1,0.6,3.0,0.7,0.3,Ligue1,0.3,Morgan Sanson,0.1,0.0,0.0,M(CR),77.8,0.0,0.6,1.2,180.0,Montpellier,0.8,0.9,72.0,2.0
963,27.0,6.0,2.6,0.6,0.0,0.3,80.3,1.0,0.8,1.0,1.0,1.0,1.1,2.6,Ligue1,2.2,Abdel Barrada,0.1,0.0,0.0,M(CR),80.3,2.0,1.1,1.6,179.0,Marseille,1.5,0.8,73.0,5.0
990,28.0,4.0,1.6,0.5,0.0,0.1,76.2,2.8,1.2,1.6,1.6,4.0,0.9,1.6,Ligue1,0.9,Óscar Trejo,0.0,0.0,0.0,M(CR),76.2,1.0,1.2,2.0,180.0,Toulouse,0.5,2.1,79.0,6.0
1068,30.0,1.0,0.8,0.1,0.0,0.3,81.7,0.7,0.7,0.8,0.4,2.0,0.9,0.8,SerieA,0.3,Jakub Blaszczykowski,0.1,0.0,0.0,M(CR),81.7,0.0,0.5,1.1,176.0,Fiorentina,0.3,0.9,77.0,1.0
1070,33.0,0.0,0.6,0.0,0.0,0.0,93.8,1.0,0.6,0.6,0.2,1.0,0.4,0.6,SerieA,0.0,Joan Verdú,0.0,0.0,0.0,M(CR),93.8,0.0,0.8,1.6,178.0,Fiorentina,0.6,0.2,71.0,0.0
1210,21.0,0.0,0.5,0.7,0.1,1.2,83.3,0.5,1.1,0.6,1.0,1.0,1.1,0.5,SerieA,0.0,David Ivan,0.0,0.1,0.0,M(CR),83.3,1.0,0.2,2.4,171.0,Sampdoria,0.6,0.6,53.0,4.0
1216,25.0,1.0,0.5,0.3,0.4,1.0,80.8,0.4,0.3,0.4,1.5,0.0,1.4,0.5,SerieA,0.2,Nenad Krsticic,0.0,0.0,1.0,M(CR),80.8,0.0,0.4,1.9,182.0,Sampdoria,1.9,0.3,75.0,5.0
1243,25.0,0.0,0.5,0.5,0.1,0.1,79.3,0.9,0.5,1.3,1.6,1.0,1.1,0.5,SerieA,0.0,Joel Obi,0.0,0.0,0.0,M(CR),79.3,1.0,0.3,2.1,176.0,Torino,0.6,0.4,71.0,1.0
1269,37.0,3.0,1.4,0.2,0.0,0.2,,1.2,0.5,0.8,0.3,3.0,0.7,1.4,SerieA,,Franco Brienza,0.0,0.0,0.0,M(CR),80.5,0.0,1.4,0.7,168.0,Bologna,,1.0,72.0,1.0
1328,25.0,1.0,1.9,0.0,0.0,0.0,90.5,1.2,0.3,1.2,0.8,0.0,0.5,1.9,SerieA,0.5,Roberto Pereyra,0.0,0.0,0.0,M(CR),90.5,0.0,0.8,0.8,182.0,Juventus,1.2,1.0,77.0,0.0
